,precision,recall,f1-score,support
akiec,0.3025210084033613,0.5538461538461539,0.391304347826087,65.0
bcc,0.3356643356643357,0.46601941747572817,0.3902439024390244,103.0
bkl,0.36893203883495146,0.5181818181818182,0.43100189035916825,220.0
df,0.18,0.391304347826087,0.2465753424657534,23.0
mel,0.2894736842105263,0.5919282511210763,0.38880706921944036,223.0
nv,0.9421296296296297,0.6070096942580164,0.7383219954648526,1341.0
vasc,0.24193548387096775,0.5357142857142857,0.3333333333333333,28.0
accuracy,0.5831253120319521,0.5831253120319521,0.5831253120319521,0.5831253120319521
macro avg,0.38009374008768176,0.5234291383461664,0.4170839830153799,2003.0
weighted avg,0.736028456876686,0.5831253120319521,0.6251865496771244,2003.0
